Block Name,Point ID,alphat,CH4,CO2,G,H2O,k,N2,nut,O2,p,p_rgh,Points_0,Points_1,Points_2,Points_Magnitude,Qdot,qin,qr,reactingCloud1:hsCoeff,reactingCloud1:hsTrans,reactingCloud1:rhokTrans,reactingCloud1:rhoTrans_CH4,reactingCloud1:rhoTrans_CO2,reactingCloud1:rhoTrans_H2O,reactingCloud1:rhoTrans_N2,reactingCloud1:rhoTrans_O2,reactingCloud1:UCoeff,reactingCloud1:UTrans_0,reactingCloud1:UTrans_1,reactingCloud1:UTrans_2,reactingCloud1:UTrans_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude
internalMesh,0,0.0215376,1.13951e-13,9.50009e-07,2232.83,7.77764e-07,0.00982965,0.76699,0.0184967,0.233009,101304,-31.0954,0,0,11.97,11.97,3.47239e-07,662.215,191.368,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16442,301.882,0,0,0,0
internalMesh,1,0.0296328,1.01765e-13,9.64055e-07,2320.58,7.89263e-07,0.0199986,0.76699,0.0254498,0.233009,101305,-31.1825,6.25,0,11.97,13.5035,4.12748e-07,757.429,286.524,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1644,301.891,0,0,0,0
internalMesh,2,0.0399067,7.86813e-14,9.23859e-07,2298.16,7.56355e-07,0.0338465,0.76699,0.0342714,0.233009,101305,-31.39,12.5,0,11.97,17.307,4.41019e-07,737.964,267.145,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16446,301.875,0,0,0,0
internalMesh,3,0.0412472,6.15267e-14,7.48445e-07,2270.09,6.12745e-07,0.0360555,0.76699,0.0354176,0.233009,101305,-31.3897,18.75,0,11.97,22.2451,3.59849e-07,716.999,246.45,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16463,301.831,0,0,0,0
internalMesh,4,0.0394727,5.80623e-14,6.16842e-07,2249.46,5.05003e-07,0.03302,0.76699,0.033891,0.233009,101306,-30.9113,25,0,11.97,27.7179,3.23639e-07,703.07,232.672,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16473,301.807,0,0,0,0
internalMesh,5,0.0392965,6.39531e-14,6.26371e-07,2232.92,5.12804e-07,0.0327216,0.76699,0.0337405,0.233009,101306,-30.1447,31.25,0,11.97,33.4641,3.55648e-07,692.215,221.764,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1647,301.816,0,0,0,0
internalMesh,6,0.041764,7.36904e-14,7.0187e-07,2221.18,5.74615e-07,0.0370174,0.76699,0.0358642,0.233009,101307,-29.3046,37.5,0,11.97,39.3641,4.37151e-07,684.261,213.543,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16454,301.86,0,0,0,0
internalMesh,7,0.0456804,9.46257e-14,8.60918e-07,2214.19,7.04826e-07,0.0443366,0.76699,0.0392369,0.233009,101308,-28.574,43.75,0,11.97,45.3579,6.1667e-07,678.946,207.765,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16426,301.935,0,0,0,0
internalMesh,8,0.050428,1.33084e-13,1.07744e-06,2215.63,8.82087e-07,0.0540972,0.76699,0.0433366,0.233008,101308,-28.3229,50,0,11.97,51.4128,9.59413e-07,678.278,206.165,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16369,302.085,0,0,0,0
internalMesh,9,0.0551696,1.97373e-13,1.26271e-06,2229.33,1.03377e-06,0.0647833,0.76699,0.0474464,0.233008,101308,-28.4998,56.25,0,11.97,57.5095,1.55517e-06,684.778,211.27,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16283,302.307,0,0,0,0
internalMesh,10,0.060118,3.24445e-13,1.45214e-06,2263.66,1.18886e-06,0.0771627,0.76699,0.0517677,0.233008,101308,-28.6062,62.5,0,11.97,63.6359,2.798e-06,703.239,227.356,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16138,302.683,0,0,0,0
internalMesh,11,0.0662815,5.91024e-13,1.6498e-06,2335.65,1.35067e-06,0.0941967,0.76699,0.05718,0.233007,101308,-28.4989,68.75,0,11.97,69.7843,5.63556e-06,744.807,265.447,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15927,303.236,0,0,0,0
internalMesh,12,0.0745798,8.42403e-13,1.71153e-06,2481.78,1.40122e-06,0.119956,0.76699,0.064473,0.233007,101308,-28.3689,75,0,11.97,75.9492,8.94164e-06,835.29,351.945,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15688,303.863,0,0,0,0
