Block Name,Point ID,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,0,4.06738,0,-0.04,0.25,0.25318,6.9059e-07,7.46696e-05,1.34951,1.34951
internalMesh,1,4.06738,0,-0.04,0.25,0.25318,6.9059e-07,7.46696e-05,1.34951,1.34951
internalMesh,2,4.06738,0,-0.0349106,0.25,0.252426,2.28568e-06,8.76051e-05,1.49957,1.49957
internalMesh,3,4.06739,0,-0.0321362,0.25,0.252057,3.15523e-06,9.46567e-05,1.58138,1.58138
internalMesh,4,4.06739,0,-0.0321362,0.25,0.252057,3.15523e-06,9.46567e-05,1.58138,1.58138
internalMesh,5,4.06739,0,-0.0282699,0.25,0.251593,4.54536e-06,9.80466e-05,1.67167,1.67167
internalMesh,6,4.06739,0,-0.0282699,0.25,0.251593,4.54536e-06,9.80466e-05,1.67167,1.67167
internalMesh,7,4.06739,0,-0.0282699,0.25,0.251593,4.54536e-06,9.80466e-05,1.67167,1.67167
internalMesh,8,4.0674,0,-0.0241819,0.25,0.251167,6.01519e-06,0.000101631,1.76714,1.76714
internalMesh,9,4.0674,0,-0.0241819,0.25,0.251167,6.01519e-06,0.000101631,1.76714,1.76714
internalMesh,10,4.06741,0,-0.0210703,0.25,0.250886,7.02199e-06,9.67962e-05,1.81738,1.81738
internalMesh,11,4.06742,0,-0.0161592,0.25,0.250522,8.61105e-06,8.91657e-05,1.89668,1.89668
internalMesh,12,4.06742,0,-0.0161592,0.25,0.250522,8.61105e-06,8.91657e-05,1.89668,1.89668
internalMesh,13,4.06743,0,-0.00959444,0.25,0.250184,1.01014e-05,6.33398e-05,1.95891,1.95891
internalMesh,14,4.06743,0,-0.00959444,0.25,0.250184,1.01014e-05,6.33398e-05,1.95891,1.95891
internalMesh,15,4.06743,0,-0.00959444,0.25,0.250184,1.01014e-05,6.33398e-05,1.95891,1.95891
internalMesh,16,4.06743,0,-0.00809104,0.25,0.250131,1.04427e-05,5.74254e-05,1.97316,1.97316
internalMesh,17,4.06744,0,0,0.25,0.25,1.11496e-05,1.32352e-05,1.99845,1.99845
internalMesh,18,4.06744,0,0,0.25,0.25,1.11496e-05,1.32352e-05,1.99845,1.99845
internalMesh,19,4.06744,0,0,0.25,0.25,1.11496e-05,1.32352e-05,1.99845,1.99845
internalMesh,20,4.06744,0,0,0.25,0.25,1.11496e-05,1.32352e-05,1.99845,1.99845
internalMesh,21,4.06743,0,0.00809104,0.25,0.250131,1.06073e-05,-3.19818e-05,1.97318,1.97318
internalMesh,22,4.06743,0,0.00809104,0.25,0.250131,1.06073e-05,-3.19818e-05,1.97318,1.97318
