Block Name,Point ID,nu,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,0,0.001,0.509051,0,-0.04,0.25,0.25318,0,0.0132435,1.36913,1.36919
internalMesh,1,0.001,0.509051,0,-0.04,0.25,0.25318,0,0.0132435,1.36913,1.36919
internalMesh,2,0.001,0.509305,0,-0.0349106,0.25,0.252426,0,0.0143662,1.45498,1.45505
internalMesh,3,0.001,0.509443,0,-0.0321362,0.25,0.252057,-2.13143e-18,0.0149782,1.50179,1.50186
internalMesh,4,0.001,0.509443,0,-0.0321362,0.25,0.252057,-2.13143e-18,0.0149782,1.50179,1.50186
internalMesh,5,0.001,0.509656,0,-0.0282699,0.25,0.251593,6.08297e-10,0.0144642,1.53538,1.53545
internalMesh,6,0.001,0.509656,0,-0.0282699,0.25,0.251593,6.08297e-10,0.0144642,1.53538,1.53545
internalMesh,7,0.001,0.509656,0,-0.0282699,0.25,0.251593,6.08297e-10,0.0144642,1.53538,1.53545
internalMesh,8,0.001,0.509882,0,-0.0241819,0.25,0.251167,1.39698e-09,0.0139208,1.5709,1.57096
internalMesh,9,0.001,0.509882,0,-0.0241819,0.25,0.251167,1.39698e-09,0.0139208,1.5709,1.57096
internalMesh,10,0.001,0.51003,0,-0.0210703,0.25,0.250886,1.73685e-09,0.01258,1.58124,1.58129
internalMesh,11,0.001,0.510263,0,-0.0161592,0.25,0.250522,2.50293e-09,0.0104637,1.59756,1.5976
internalMesh,12,0.001,0.510263,0,-0.0161592,0.25,0.250522,2.50293e-09,0.0104637,1.59756,1.5976
internalMesh,13,0.001,0.510469,0,-0.00959444,0.25,0.250184,4.66384e-10,0.00646487,1.60357,1.60359
internalMesh,14,0.001,0.510469,0,-0.00959444,0.25,0.250184,4.66384e-10,0.00646487,1.60357,1.60359
internalMesh,15,0.001,0.510469,0,-0.00959444,0.25,0.250184,4.66384e-10,0.00646487,1.60357,1.60359
internalMesh,16,0.001,0.510517,0,-0.00809104,0.25,0.250131,0,0.0055491,1.60495,1.60496
internalMesh,17,0.001,0.510605,0,0,0.25,0.25,-2.32831e-09,2.50293e-09,1.60607,1.60607
