Block Name,Point ID,nu,nut,nuTilda,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,0,1e-05,0,0,0.0495735,0,-0.04,0.25,0.25318,-5.71716e-06,0.00495151,1.06179,1.0618
internalMesh,1,1e-05,0,0,0.0495735,0,-0.04,0.25,0.25318,-5.71716e-06,0.00495151,1.06179,1.0618
internalMesh,2,1e-05,0,0,0.0497675,0,-0.0349106,0.25,0.252426,-5.47507e-06,0.00424696,1.06133,1.06134
internalMesh,3,1e-05,0,0,0.0498733,0,-0.0321362,0.25,0.252057,-5.34312e-06,0.00386287,1.06108,1.06109
internalMesh,4,1e-05,0,0,0.0498733,0,-0.0321362,0.25,0.252057,-5.34312e-06,0.00386287,1.06108,1.06109
internalMesh,5,1e-05,0,0,0.0499863,0,-0.0282699,0.25,0.251593,-4.01482e-06,0.00323932,1.06068,1.06069
internalMesh,6,1e-05,0,0,0.0499863,0,-0.0282699,0.25,0.251593,-4.01482e-06,0.00323932,1.06068,1.06069
internalMesh,7,1e-05,0,0,0.0499863,0,-0.0282699,0.25,0.251593,-4.01482e-06,0.00323932,1.06068,1.06069
internalMesh,8,1e-05,0,0,0.0501057,0,-0.0241819,0.25,0.251167,-2.61038e-06,0.00258002,1.06027,1.06027
internalMesh,9,1e-05,0,0,0.0501057,0,-0.0241819,0.25,0.251167,-2.61038e-06,0.00258002,1.06027,1.06027
internalMesh,10,1e-05,0,0,0.0501201,0,-0.0210703,0.25,0.250886,-9.83832e-07,0.00236302,1.06006,1.06006
internalMesh,11,1e-05,0,0,0.0501429,0,-0.0161592,0.25,0.250522,1.58337e-06,0.00202053,1.05973,1.05973
internalMesh,12,1e-05,0,0,0.0501429,0,-0.0161592,0.25,0.250522,1.58337e-06,0.00202053,1.05973,1.05973
internalMesh,13,1e-05,0,0,0.0501817,0,-0.00959444,0.25,0.250184,2.74936e-06,0.00124691,1.05945,1.05945
internalMesh,14,1e-05,0,0,0.0501817,0,-0.00959444,0.25,0.250184,2.74936e-06,0.00124691,1.05945,1.05945
internalMesh,15,1e-05,0,0,0.0501817,0,-0.00959444,0.25,0.250184,2.74936e-06,0.00124691,1.05945,1.05945
internalMesh,16,1e-05,0,0,0.0501906,0,-0.00809104,0.25,0.250131,3.01632e-06,0.00106975,1.05939,1.05939
internalMesh,17,1e-05,0,0,0.050227,0,0,0.25,0.25,-3.59572e-06,-7.15299e-06,1.05926,1.05926
internalMesh,18,1e-05,0,0,0.050227,0,0,0.25,0.25,-3.59572e-06,-7.15299e-06,1.05926,1.05926
internalMesh,19,1e-05,0,0,0.050227,0,0,0.25,0.25,-3.59572e-06,-7.15299e-06,1.05926,1.05926
internalMesh,20,1e-05,0,0,0.050227,0,0,0.25,0.25,-3.59575e-06,-7.15299e-06,1.05926,1.05926
internalMesh,21,1e-05,0,0,0.050193,0,0.00809104,0.25,0.250131,-1.15291e-05,-0.00108323,1.05938,1.05938
internalMesh,22,1e-05,0,0,0.050193,0,0.00809104,0.25,0.250131,-1.15291e-05,-0.00108323,1.05938,1.05938
internalMesh,23,1e-05,0,0,0.0501841,0,0.00955799,0.25,0.250183,-1.21611e-05,-0.00125684,1.05944,1.05944
internalMesh,24,1e-05,0,0,0.0501841,0,0.00955799,0.25,0.250183,-1.21611e-05,-0.00125684,1.05944,1.05944
internalMesh,25,1e-05,0,0,0.0501841,0,0.00955799,0.25,0.250183,-1.21611e-05,-0.00125684,1.05944,1.05944
internalMesh,26,1e-05,0,0,0.0501442,0,0.0161592,0.25,0.250522,-1.50048e-05,-0.00203809,1.05972,1.05972
